Prior to the emergence of database systems, what type of systems were used to organizing data?	file processing systems	systems file-systems
What did file processing systems do with organizational data?	kept them in numerous files	systems file-systems
In a file processing system, what are application programs used for?	to manage the interrelationships of files when there is need to link data from different files	systems file-systems
definition of database?	an organized collection of logically related data that can be processed by multiple application systems and can be shared by multiple users	systems database-systems
A database is an organized collection of  (...)	logically related data	systems database-systems
A database’s data can be processed by multiple (...)	application systems	systems database-systems
A database’s data can be shared by multiple (...)	users	systems database-systems
db: traditional definition of data?	facts concerning objects and events that can be recorded and stored on computer media	data-and-information
db: traditional definition of data focused on what?	structured data	data-and-information
db: traditional definition of data did not consider what?	unstructured data	data-and-information
db: updated definition of data?	stored representation of objects and events that have meaning and importance in the user’s environment	data-and-information
db: definition of information?	data that have been processed in such a way as to increase the knowledge of the person who uses the data	data-and-information
db: difference between data and information?	information can be understood	data-and-information
db: definition of metadata?	data that describes the properties or characteristics of end-user data and the context of that data	data-and-information
db, traddata: data are (...) concerning objects and events	facts	data-and-information
db, traddata: data can be recorded and stored on (...)	computer media	data-and-information
db, upddata: data is a (...) of objects and events	stored representation	data-and-information
db, upddata: data has meaning and importance in the (...)	user’s environment	data-and-information
db: information is (...) that has been processed	data	data-and-information
db: information increases the (...) of the person who uses it	knowledge	data-and-information
db: metadata is data that describes the properties or characteristics of (...) and (...)	end-user data, the context of that data	data-and-information
db: metadata is data that describes the (...) or (...) of end-user data and the context of that data	properties, characteristics	data-and-information
A database system is composed of what five things?	(1) data stored in the database, (2) DBMS, (3) software and applications, (4) hardware, and (5) people	systems database-systems
software in a database system includes what?	DBMS, CASE tools, application software and utilities, report writers, user interface, operating system, etc.	systems database-systems
people in a database system includes who?	data and database administrators, systems developers, programmers, system administrators, etc.	systems database-systems
db: program-data dependence falls under?	disadvantages of file systems	systems file-systems
db: data redundancy falls under?	disadvantages of file systems	systems file-systems
db: data inconsistency falls under?	disadvantages of file systems	systems file-systems
db: poor data control falls under?	disadvantages of file systems	systems file-systems
db: limited data sharing falls under?	disadvantages of file systems	systems file-systems
db: lengthy development times falls under?	disadvantages of file systems	systems file-systems
db: excessive program maintenance falls under?	disadvantages of file systems	systems file-systems
db: program-data independence falls under?	advantages of database systems	systems database-systems
db: minimal data redundancy falls under?	advantages of database systems	systems database-systems
db: improved data consistency falls under?	advantages of database systems	systems database-systems
db: increased productivity of application development falls under?	advantages of database systems	systems database-systems
db: enforcement of standards falls under?	advantages of database systems	systems database-systems
db: Iimproved data accessibility and responsiveness falls under?	advantages of database systems	systems database-systems
db: reduced program maintenance falls under?	advantages of database systems	systems database-systems
db: improved decision support falls under?	advantages of database systems	systems database-systems
db: specialized personnel falls under?	limitations of database systems	systems database-systems
db: installation and management costs and complexity falls under?	limitations of database systems	systems database-systems
db: conversion costs falls under?	limitations of database systems	systems database-systems
db: need for explicit backup and recovery falls under?	limitations of database systems	systems database-systems
db: organizational conflict falls under?	limitations of database systems	systems database-systems
db: cross-entity linking mechanism falls under?	features of a DBMS	DBMS
db: data dictionary falls under?	features of a DBMS	DBMS
db: query language falls under?	features of a DBMS	DBMS
db: mechanisms for data access falls under?	features of a DBMS	DBMS
db: data manipulation language falls under?	features of a DBMS	DBMS
db: 4GL application development software falls under?	features of a DBMS	DBMS
db: disaster recovery and concurrency control falls under?	features of a DBMS	DBMS
db: What are the seven features of a DBMS?	(1) data dictionary, (2) query language, (3) data manipulation language, (4) cross-entity linking mechanism, (5) mechanisms for data access, (6) 4GL application development software, and (7) disaster recovery and concurrency control (data, language, mecchanisms, software, recovcontrol)	DBMS
db: DBMS stands for?	database management systems	DBMS
db,dbms: linking mechanism allow for linking together (...)	related entities	DBMS
db,dbms: data dictionary describes?	how structure of data and how they are to be used	DBMS
db,dbms: data dictionary is also known as?	system catalog	DBMS
db,dbms: definition of system catalog	a system-created database that contains the characteristics and contents of user-created databases	DBMS
db,dbms: a system catalog is a (...) database	system-created	DBMS
db,dbms: a system catalog contains the (...) and (...) of user-created databases	characteristics, content	DBMS
db,dbms: a system catalog contains the characteristics and contents of (...) databases	User-created	DBMS
db,dbms: definition of query language	a language that is used to retrieve selected data from a database	DBMS
db,dbms: a query language is a language that is used to retrieve (...) from a database	selected data	DBMS
db,dbms: query language is used by (...) for (...)	End-users, ad-hoc queries	DBMS
db,dbms: SQL stands for?	structured query language	DBMS
db,dbms: SQL is used by most (...) DBMSs as a standard method of (...)	relational, a standard method of issuing database commands	DBMS
db,dbms: SQL is used by most (...) databases	relational	DBMS
db,dbms SQL is used as a standard method of (...)	issuing database commands	DBMS
